ablation,dataset,n_seeds,seeds,mean_test_roc_auc,std_test_roc_auc,mean_best_val_auc,per_seed_aucs,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes
a1_no_phys,bace,5,"[0, 1, 2, 3, 42]",0.8419,0.0102,0.8937,"[0.8551, 0.8492, 0.8335, 0.8407, 0.8312]",True,0.0011950712075118732,0.05,64,4
a1_no_phys,bbbp,5,"[0, 1, 2, 3, 42]",0.9476,0.0094,0.9194,"[0.9392, 0.9625, 0.9496, 0.9401, 0.9465]",True,0.00171889612665269,0.05,32,4
a1_no_phys,clintox,5,"[0, 1, 2, 3, 42]",0.9394,0.0258,0.9198,"[0.9551, 0.9536, 0.9221, 0.9634, 0.9029]",True,0.008679022613626963,0.02,16,16
a1_no_phys,sider,5,"[0, 1, 2, 3, 42]",0.6422,0.0105,0.643,"[0.6487, 0.6505, 0.6331, 0.6286, 0.6502]",True,0.018853289942275565,0.1,32,4
a1_no_phys,tox21,5,"[0, 1, 2, 3, 42]",0.7861,0.0041,0.8025,"[0.782, 0.7857, 0.7829, 0.7876, 0.7922]",True,0.04596991406126452,0.05,32,8
a2_no_infonce,bace,5,"[0, 1, 2, 3, 42]",0.8629,0.0174,0.8846,"[0.8762, 0.8636, 0.871, 0.8328, 0.8711]",False,0.0011950712075118732,0.0,64,4
a2_no_infonce,bbbp,5,"[0, 1, 2, 3, 42]",0.9625,0.014,0.957,"[0.9653, 0.9419, 0.9758, 0.9737, 0.9558]",False,0.00171889612665269,0.0,32,4
a2_no_infonce,clintox,5,"[0, 1, 2, 3, 42]",0.9196,0.0167,0.9524,"[0.9145, 0.8986, 0.9127, 0.9413, 0.9312]",False,0.008679022613626963,0.0,16,16
a2_no_infonce,sider,5,"[0, 1, 2, 3, 42]",0.6569,0.0222,0.6627,"[0.6262, 0.6657, 0.6637, 0.6445, 0.6845]",False,0.018853289942275565,0.0,32,4
a2_no_infonce,tox21,5,"[0, 1, 2, 3, 42]",0.8077,0.003,0.8261,"[0.8085, 0.8125, 0.8056, 0.8052, 0.8066]",False,0.04596991406126452,0.0,32,8
a3_no_mse_kd,bace,5,"[0, 1, 2, 3, 42]",0.858,0.0083,0.8854,"[0.8486, 0.8657, 0.8586, 0.8666, 0.8504]",False,0.0,0.05,64,4
a3_no_mse_kd,bbbp,5,"[0, 1, 2, 3, 42]",0.9595,0.0061,0.9515,"[0.9651, 0.9497, 0.9639, 0.9585, 0.9601]",False,0.0,0.05,32,4
a3_no_mse_kd,clintox,5,"[0, 1, 2, 3, 42]",0.9386,0.0128,0.9611,"[0.9511, 0.938, 0.9181, 0.9475, 0.938]",False,0.0,0.02,16,16
a3_no_mse_kd,sider,5,"[0, 1, 2, 3, 42]",0.6538,0.0088,0.6603,"[0.651, 0.6593, 0.6467, 0.6663, 0.6456]",False,0.0,0.1,32,4
a3_no_mse_kd,tox21,5,"[0, 1, 2, 3, 42]",0.8118,0.0022,0.823,"[0.8097, 0.8091, 0.8131, 0.8137, 0.8134]",False,0.0,0.05,32,8
a4_no_codebook,bace,5,"[0, 1, 2, 3, 42]",0.8387,0.0158,0.8754,"[0.8258, 0.8527, 0.8467, 0.8506, 0.818]",False,0.0011950712075118732,0.05,64,0
a4_no_codebook,bbbp,5,"[0, 1, 2, 3, 42]",0.9642,0.0038,0.9516,"[0.9653, 0.9671, 0.9576, 0.9661, 0.9651]",False,0.00171889612665269,0.05,32,0
a4_no_codebook,clintox,5,"[0, 1, 2, 3, 42]",0.8713,0.0171,0.961,"[0.8775, 0.8527, 0.8812, 0.854, 0.8911]",False,0.008679022613626963,0.02,16,0
a4_no_codebook,sider,5,"[0, 1, 2, 3, 42]",0.6619,0.0166,0.6442,"[0.6441, 0.6629, 0.6472, 0.6718, 0.6834]",False,0.018853289942275565,0.1,32,0
a4_no_codebook,tox21,5,"[0, 1, 2, 3, 42]",0.7981,0.0039,0.8138,"[0.8016, 0.7926, 0.8008, 0.8, 0.7956]",False,0.04596991406126452,0.05,32,0
