condition,epoch,train_loss,val_cosine_chem_phys,val_roc_auc,ema_decay_used
full,1,0.672992,0.604791,0.726862,0.95
full,2,0.507879,0.609519,0.739051,0.950039
full,3,0.462175,0.583957,0.744908,0.950158
full,4,0.439788,0.521633,0.755268,0.950354
full,5,0.422342,0.503071,0.775901,0.950628
full,6,0.408614,0.448261,0.772051,0.950979
full,7,0.398712,0.405602,0.755055,0.951404
full,8,0.386769,0.409312,0.768476,0.951902
full,9,0.382106,0.409945,0.771586,0.952472
full,10,0.370427,0.403746,0.779377,0.95311
full,11,0.362484,0.386895,0.784157,0.953815
full,12,0.355574,0.386519,0.783654,0.954582
full,13,0.352709,0.370679,0.778493,0.95541
full,14,0.349064,0.345667,0.784165,0.956295
full,15,0.348845,0.357219,0.78915,0.957232
full,16,0.346187,0.335405,0.780208,0.958219
full,17,0.341811,0.328064,0.777887,0.959251
full,18,0.339197,0.312422,0.781969,0.960324
full,19,0.339605,0.308903,0.790169,0.961434
full,20,0.337159,0.300151,0.780655,0.962575
full,21,0.336951,0.294109,0.786648,0.963744
full,22,0.333387,0.273245,0.79316,0.964935
full,23,0.334824,0.253002,0.787545,0.966143
full,24,0.332994,0.261552,0.784012,0.967365
full,25,0.333826,0.259876,0.788208,0.968594
full,26,0.333499,0.244975,0.780947,0.969825
full,27,0.331188,0.237688,0.791,0.971054
full,28,0.332756,0.223697,0.80942,0.972275
full,29,0.331181,0.234349,0.780302,0.973484
full,30,0.331483,0.237247,0.786391,0.974675
full,31,0.332056,0.214563,0.793122,0.975843
full,32,0.331609,0.210424,0.790042,0.976985
full,33,0.330596,0.192573,0.793946,0.978094
full,34,0.330401,0.178048,0.804302,0.979167
full,35,0.328975,0.210234,0.790679,0.980199
full,36,0.331381,0.200718,0.797401,0.981186
full,37,0.329221,0.176421,0.801303,0.982124
full,38,0.332164,0.17814,0.800469,0.983008
full,39,0.332788,0.186714,0.803814,0.983836
full,40,0.329673,0.161321,0.799428,0.984604
full,41,0.328126,0.176648,0.799256,0.985308
full,42,0.331378,0.18447,0.780619,0.985947
full,43,0.32777,0.168052,0.802648,0.986516
full,44,0.329465,0.147873,0.791791,0.987015
full,45,0.329937,0.169265,0.80007,0.98744
full,46,0.327228,0.146236,0.805791,0.98779
full,47,0.327135,0.134438,0.790759,0.988064
full,48,0.32832,0.155333,0.790706,0.988261
full,49,0.326689,0.15488,0.799798,0.988379
full,50,0.326608,0.147397,0.813066,0.988418
a2_no_infonce,1,0.469568,0.61003,0.721157,0.95
a2_no_infonce,2,0.309341,0.609235,0.731006,0.950039
a2_no_infonce,3,0.26739,0.571044,0.735332,0.950158
a2_no_infonce,4,0.250354,0.520344,0.750753,0.950354
a2_no_infonce,5,0.240824,0.482096,0.770691,0.950628
a2_no_infonce,6,0.232449,0.426312,0.762711,0.950979
a2_no_infonce,7,0.228514,0.40672,0.732952,0.951404
a2_no_infonce,8,0.222957,0.390577,0.759179,0.951902
a2_no_infonce,9,0.222111,0.380252,0.77116,0.952472
a2_no_infonce,10,0.219618,0.374352,0.7704,0.95311
a2_no_infonce,11,0.217513,0.358809,0.7856,0.953815
a2_no_infonce,12,0.214366,0.332991,0.770755,0.954582
a2_no_infonce,13,0.214129,0.343927,0.790943,0.95541
a2_no_infonce,14,0.212952,0.331353,0.778711,0.956295
a2_no_infonce,15,0.212954,0.32377,0.792942,0.957232
a2_no_infonce,16,0.211963,0.34504,0.788991,0.958219
a2_no_infonce,17,0.20936,0.310138,0.787226,0.959251
a2_no_infonce,18,0.209347,0.272261,0.778515,0.960324
a2_no_infonce,19,0.208388,0.278353,0.790946,0.961434
a2_no_infonce,20,0.208217,0.233956,0.787918,0.962575
a2_no_infonce,21,0.20745,0.250369,0.794143,0.963744
a2_no_infonce,22,0.204616,0.20338,0.795874,0.964935
a2_no_infonce,23,0.206953,0.178863,0.782594,0.966143
a2_no_infonce,24,0.205464,0.168749,0.793548,0.967365
a2_no_infonce,25,0.203228,0.179902,0.793572,0.968594
a2_no_infonce,26,0.204741,0.153646,0.782635,0.969825
a2_no_infonce,27,0.202607,0.152241,0.786462,0.971054
a2_no_infonce,28,0.202631,0.136,0.802987,0.972275
a2_no_infonce,29,0.202785,0.146038,0.783228,0.973484
a2_no_infonce,30,0.203271,0.128881,0.796061,0.974675
a2_no_infonce,31,0.202781,0.118027,0.791248,0.975843
a2_no_infonce,32,0.202502,0.110377,0.791603,0.976985
a2_no_infonce,33,0.201628,0.100271,0.796106,0.978094
a2_no_infonce,34,0.20092,0.091579,0.810479,0.979167
a2_no_infonce,35,0.199359,0.128759,0.790431,0.980199
a2_no_infonce,36,0.20083,0.098017,0.799915,0.981186
a2_no_infonce,37,0.198389,0.119207,0.804714,0.982124
a2_no_infonce,38,0.199615,0.095233,0.807656,0.983008
a2_no_infonce,39,0.201066,0.100853,0.811791,0.983836
a2_no_infonce,40,0.198107,0.056832,0.804035,0.984604
a2_no_infonce,41,0.197333,0.072996,0.797764,0.985308
a2_no_infonce,42,0.198342,0.039638,0.781941,0.985947
a2_no_infonce,43,0.197743,0.054972,0.801501,0.986516
a2_no_infonce,44,0.198372,0.060935,0.796326,0.987015
a2_no_infonce,45,0.197288,0.050775,0.803396,0.98744
a2_no_infonce,46,0.196287,0.055125,0.803904,0.98779
a2_no_infonce,47,0.195293,0.063793,0.798346,0.988064
a2_no_infonce,48,0.197546,0.06464,0.804623,0.988261
a2_no_infonce,49,0.195248,0.047228,0.803255,0.988379
a2_no_infonce,50,0.19558,0.051238,0.815589,0.988418
