,P0,P1,P2,P3,P4,P5,P6,P7,_row_max,_row_min,_max_dev_from_uniform
class_00_NR-AR,0.12542166,0.1254347,0.124675624,0.124661244,0.12510356,0.12460011,0.12429008,0.12581307,0.12581307,0.12429008,0.00081306696
class_01_NR-AR-LBD,0.12556477,0.12517837,0.1251628,0.1264019,0.124421306,0.12438933,0.12396165,0.12491987,0.1264019,0.12396165,0.0014019012
class_02_NR-AhR,0.12526296,0.12523846,0.125091,0.12448878,0.12530868,0.12512203,0.124568455,0.12491964,0.12530868,0.12448878,0.0005112216
class_03_NR-Aromatase,0.12388772,0.12625931,0.12389248,0.12477095,0.124658786,0.1258068,0.12523407,0.12548994,0.12625931,0.12388772,0.001259312
class_04_NR-ER,0.122848585,0.121423915,0.12401639,0.122937016,0.12496779,0.1340224,0.12613311,0.1236508,0.1340224,0.121423915,0.0090224
class_05_NR-ER-LBD,0.12446201,0.12570292,0.12433568,0.12501577,0.12509544,0.12483144,0.12535653,0.12520024,0.12570292,0.12433568,0.0007029176
class_06_NR-PPAR-gamma,0.124515496,0.1249714,0.12571904,0.12552673,0.1241625,0.12442496,0.12576626,0.12491366,0.12576626,0.1241625,0.0008374974
class_07_SR-ARE,0.12421843,0.12490782,0.12480382,0.12437656,0.12563932,0.12664218,0.123872064,0.1255398,0.12664218,0.123872064,0.0016421825
class_08_SR-ATAD5,0.124744795,0.124405764,0.12557162,0.124522835,0.12615323,0.12496667,0.12537521,0.12425989,0.12615323,0.12425989,0.0011532307
class_09_SR-HSE,0.12500092,0.12446381,0.1252922,0.12429542,0.12541534,0.12569898,0.12548713,0.124346174,0.12569898,0.12429542,0.00070457906
class_10_SR-MMP,0.1260793,0.12450953,0.12476056,0.12507077,0.124090396,0.12470634,0.12707454,0.123708546,0.12707454,0.123708546,0.0020745397
class_11_SR-p53,0.12510785,0.12421602,0.124671854,0.12530498,0.12484544,0.12497347,0.12578073,0.1250996,0.12578073,0.12421602,0.0007839799
